Date,wavelet_cD,target
2023-10-24,9.944302326037049e-16,0.0
2023-10-25,4.6005884789209785e-06,1.0
2023-10-26,1.9953656782423224e-15,0.0
2023-10-27,-3.7720254501431415e-05,0.0
2023-10-30,6.643990912991171e-16,0.0
2023-10-31,-2.3920057555623653e-05,2.0
2023-11-01,2.5678244253146687e-15,2.0
2023-11-03,6.904512637092132e-05,2.0
2023-11-06,3.206636345343128e-15,2.0
2023-11-07,7.272792747255435e-05,2.0
2023-11-08,2.553079275768866e-15,2.0
2023-11-09,1.1967311028171414e-05,2.0
2023-11-10,5.941427905220564e-16,2.0
2023-11-13,-1.8411764813962457e-05,2.0
2023-11-14,3.8484840314545465e-15,2.0
2023-11-16,4.418890776584656e-05,2.0
2023-11-17,2.7521387946372045e-15,2.0
2023-11-20,2.7618319432099785e-05,1.0
2023-11-21,1.4879590615191065e-15,1.0
2023-11-22,1.7491512681700166e-05,0.0
2023-11-23,2.478486166301863e-15,0.0
2023-11-24,-1.565078433345352e-05,2.0
2023-11-27,4.193694003173931e-15,2.0
2023-11-28,2.7618319433759912e-05,2.0
2023-11-29,1.8023776915399026e-15,1.0
2023-11-30,4.418935590339186e-05,1.0
2023-12-01,6.74807432154978e-16,1.0
2023-12-04,3.684817725889064e-06,2.0
2023-12-05,7.541710311809169e-16,1.0
2023-12-06,-2.579193151437892e-05,0.0
2023-12-07,2.467644144577008e-15,2.0
2023-12-08,3.713677835295252e-05,2.0
2023-12-11,1.237725200109452e-15,0.0
2023-12-12,-1.4855562801491425e-05,2.0
2023-12-13,-3.686287386450715e-16,2.0
2023-12-14,2.506706770866434e-05,0.0
2023-12-15,4.380610457710432e-15,1.0
2023-12-18,1.4854442459388916e-05,2.0
2023-12-19,2.1415161310933684e-15,0.0
2023-12-20,-3.156686658049423e-05,2.0
2023-12-21,-1.713039432527097e-16,2.0
2023-12-22,4.827660188228911e-05,2.0
2023-12-26,1.463672932855431e-15,0.0
2023-12-27,2.135312099192958e-05,0.0
2023-12-28,3.9044288635547986e-15,0.0
2024-01-02,-4.016104011850133e-05,0.0
2024-01-03,3.5236570605778894e-15,0.0
2024-01-04,-2.0435333609421843e-05,1.0
2024-01-05,1.7273509012039057e-15,1.0
2024-01-08,-3.343986088758704e-05,0.0
2024-01-09,1.4584687624275006e-15,1.0
2024-01-10,-2.787196573135562e-06,1.0
2024-01-11,3.0097452308197603e-16,0.0
2024-01-12,3.715739271755413e-06,0.0
2024-01-15,3.2378613679107104e-15,0.0
2024-01-16,-4.365786379855168e-05,0.0
2024-01-17,1.775055796793268e-15,0.0
2024-01-18,-1.3004303208085427e-05,0.0
2024-01-19,3.608658510900753e-15,0.0
2024-01-22,-5.016057557419946e-05,0.0
2024-01-23,1.984089975648473e-15,1.0
2024-01-24,-1.3933742179308725e-05,0.0
2024-01-25,1.2060664966728753e-15,1.0
2024-01-26,4.45870787057546e-05,2.0
2024-01-29,1.3817072486155269e-15,0.0
2024-01-30,-1.950723905054779e-05,2.0
2024-01-31,1.839674246273404e-15,2.0
2024-02-01,-6.723643988715798e-06,0.0
2024-02-02,-9.974659986866641e-17,2.0
2024-02-05,5.762297566668049e-05,2.0
2024-02-06,5.099219657633825e-15,2.0
2024-02-07,-2.323485398754172e-05,0.0
2024-02-08,4.023257421659211e-15,0.0
2024-02-09,3.996408330978829e-05,2.0
2024-02-14,1.840107927142398e-15,2.0
2024-02-15,2.695171361104731e-05,2.0
2024-02-16,4.573598444412852e-15,2.0
2024-02-19,3.5316888441821494e-05,2.0
2024-02-20,2.121133130250641e-15,2.0
2024-02-21,-1.858833133093008e-05,0.0
2024-02-22,3.481590016285452e-15,0.0
2024-02-23,9.598003480550468e-06,1.0
2024-02-26,2.9451267813396242e-15,0.0
2024-02-27,4.031340716884697e-05,0.0
2024-02-28,3.348016308635237e-16,0.0
2024-02-29,-8.254395026482085e-05,0.0
2024-03-01,2.02919278602387e-15,0.0
2024-03-04,-2.4967356916827128e-05,0.0
2024-03-05,2.2260839005472377e-15,1.0
2024-03-06,3.5532442996368766e-05,0.0
2024-03-07,3.648990831717214e-15,2.0
2024-03-08,2.9769607666071778e-05,2.0
2024-03-11,5.427082394593441e-15,2.0
2024-03-12,1.3445719499891907e-05,1.0
