Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-11-18,107812.3730690626,109909.46362514024,86916.91451759815
2024-11-19,107812.3730690626,109909.46362514024,87550.42514398442
2024-11-21,107812.3730690626,109909.46362514024,87233.66983079129
2024-11-22,107812.3730690626,109909.46362514024,87423.73734033339
2024-11-25,107812.3730690626,109909.46362514024,86156.70957773077
2024-11-26,107812.3730690626,109909.46362514024,86726.86002771625
2024-11-27,107812.3730690626,109909.46362514024,84382.8915415434
2024-11-28,107812.3730690626,109909.46362514024,80835.27499865898
2024-11-29,107812.3730690626,109909.46362514024,80011.72290205101
2024-12-02,107812.3730690626,109909.46362514024,78301.24551277411
2024-12-03,107812.3730690626,109909.46362514024,78040.95646590176
2024-12-04,107812.3730690626,109909.46362514024,78929.2227835721
2024-12-05,107812.3730690626,109909.46362514024,80007.83653347903
2024-12-06,107812.3730690626,109909.46362514024,78167.846074286
2024-12-09,107812.3730690626,109909.46362514024,77660.25509159852
2024-12-10,107812.3730690626,109909.46362514024,79183.01502000079
2024-12-11,107812.3730690626,109909.46362514024,80578.87883018875
2024-12-12,107812.3730690626,109909.46362514024,77787.15771964297
2024-12-13,107812.3730690626,109909.46362514024,76771.99528375828
2024-12-16,107812.3730690626,109909.46362514024,75503.04712127501
2024-12-17,108287.29628284133,110647.73022308624,76074.05686883422
2024-12-18,104688.31442730835,106033.56239093358,72901.6604233056
2024-12-19,104759.4840524368,106125.86960788915,72965.12475698804
2024-12-20,107059.76006838027,108525.23233578709,74614.76778394445
2024-12-23,105185.89532228654,106587.28260375324,73282.36179760886
2024-12-26,105982.23727604754,107417.82031528177,73853.38456482827
2024-12-27,105170.79881092913,106587.28260375324,73282.36179760886
2024-12-30,,,73345.80009197087
